year,gdp_per_capita,unemployment_rate,population,urban_pct,country_code
2022,123719.658915996,4.588,653103.0,94.7605400940185,LU
2023,133230.619178899,5.184,666430.0,94.8015300320787,LU
2010,11188.4191700977,19.482,2097555.0,67.8270681752453,LV
2011,12902.574053337,16.206,2059709.0,67.8266897008267,LV
2012,13329.3499931271,15.047,2034319.0,67.8331638942219,LV
2013,14484.4715282132,11.867,2012647.0,67.847334482933,LV
2014,15185.814581236,10.846,1993782.0,67.8686035364944,LV
2015,13321.9753140616,9.873,1977527.0,67.8965395668259,LV
2016,13838.5266823272,9.643,1959537.0,67.9307110858472,LV
2017,15132.4958333982,8.715,1942248.0,67.9706866054779,LV
2018,17252.1710428626,7.412,1927174.0,68.0160346376376,LV
2019,17294.9751600969,6.312,1913822.0,68.066323694246,LV
2020,17564.2321549354,8.098,1900449.0,68.1211222872228,LV
2021,20261.8887788916,7.513,1884490.0,68.1808791463693,LV
2022,20221.103686109,6.815,1879383.0,68.2570218109034,LV
2023,22710.2637544197,6.465,1883710.0,68.3586316343061,LV
2010,21946.6069636029,6.861,414508.0,94.2412435620154,MT
2011,23516.9691234302,6.388,416268.0,94.3155916422812,MT
2012,22878.3130866521,6.203,420028.0,94.3626256493653,MT
2013,25415.5566867731,6.115,424810.0,94.3906567856206,MT
2014,27424.5765646694,5.737,433481.0,94.412512773898,MT
2015,25529.6813337717,5.389,444220.0,94.4387696268011,MT
2016,26459.0770929988,4.694,454505.0,94.4800033569336,MT
2017,30317.2443175543,4.008,467106.0,94.5691806330314,MT
2018,33382.2677499267,3.956,483903.0,94.7242373261706,MT
2019,32421.9179752262,4.08,503912.0,94.9332032524644,MT
2020,31823.4363934505,4.856,515490.0,95.1841082280263,MT
2021,38096.8360735119,3.754,518150.0,95.5145343617045,MT
2022,35638.8869457406,3.471,531113.0,95.6003155132879,MT
2023,40905.8059585057,3.479,552747.0,95.6272277147965,MT
2010,51305.7338533973,4.991,16615394.0,87.3502790247129,NL
2011,54701.7728030611,4.977,16693074.0,88.0059204972573,NL
2012,50473.9442002689,5.821,16754962.0,88.5342462391333,NL
2013,52602.2860520766,7.241,16804432.0,89.1749992370605,NL
2014,53457.2234864322,7.419,16865008.0,89.8364787097165,NL
2015,45793.8135434697,6.872,16939923.0,90.2787737214621,NL
2016,46808.5291492503,6.007,17030314.0,90.5803239452777,NL
2017,49513.6817346384,4.837,17131296.0,91.1219700676602,NL
2018,53955.0770024266,3.832,17231624.0,92.6062472401044,NL
2019,53554.9007491475,3.379,17344874.0,93.8898028856479,NL
2020,53467.9277413737,3.82,17441500.0,94.2532277765935,NL
2021,60141.9880911492,4.209,17533044.0,94.6294783220315,NL
2022,59123.318556487,3.526,17700982.0,94.9856177734136,NL
2023,63515.6030780019,3.535,17877117.0,95.3221682092129,NL
2010,12567.7317676382,9.578,38042794.0,60.8474783987677,PL
2011,13867.6669408192,9.576,38063255.0,60.7357090652544,PL
2012,13087.420943321,10.031,38063164.0,60.6341632788866,PL
2013,13621.9023794031,10.293,38040196.0,60.5333187465323,PL
2014,14262.2841914116,8.971,38011735.0,60.4340063344328,PL
2015,12637.5220324406,7.475,37986412.0,60.3362886805635,PL
2016,12464.0110508476,6.141,37970087.0,60.2402284228997,PL
2017,13913.3402919927,4.867,37974826.0,60.145888199417,PL
2018,15658.2120316794,3.835,37974750.0,60.0533306480907,PL
2019,15874.5220531254,3.267,37965475.0,59.9626184068963,PL
2020,16150.9304813473,3.155,37515748.0,59.8738141138092,PL
2021,18635.5104895754,3.268,36981559.0,59.8096513205543,PL
2022,18891.2121169279,2.811,36821749.0,59.8315488048321,PL
2023,22145.2660647429,2.743,36687353.0,59.8859561370214,PL
2010,22551.935098809,10.771,10573100.0,61.0788867241731,PT
2011,23246.5425416481,12.715,10557560.0,61.1410698395502,PT
2012,20593.4274224109,15.509,10514844.0,61.1409793914666,PT
2013,21676.4859642714,16.237,10457295.0,61.1405315215642,PT
2014,22120.6850127107,13.88,10401062.0,61.1394537361116,PT
2015,19215.7813014347,12.405,10358076.0,61.137469211538,PT
2016,19980.2808866516,11.058,10325452.0,61.1343011242723,PT
2017,21442.3842768879,8.878,10300300.0,61.1296726507436,PT
2018,23541.1401075289,6.966,10283822.0,61.1233069673808,PT
2019,23343.3628970034,6.422,10286263.0,61.114927250613,PT
2020,22299.4044062173,6.85,10297081.0,61.1042566768691,PT
2021,24711.4510062111,6.712,10361831.0,61.0951249296597,PT
2022,24620.5197587181,6.138,10434332.0,61.1259255772782,PT
2023,27634.6183139773,6.498,10578174.0,61.2048652633664,PT
2010,8399.5374234284,6.959,20246871.0,53.9038227941329,RO
2011,9560.6755277458,7.177,20147528.0,53.9608874244169,RO
2012,8929.95366231474,6.794,20058035.0,53.9563092496073,RO
2013,9497.67411615237,7.096,19983693.0,53.9101758034365,RO
2014,10031.7710755404,6.802,19908979.0,53.8267187624053,RO
2015,8977.01748158196,6.812,19815616.0,53.7071839518893,RO
2016,9404.54005870715,5.901,19702267.0,53.5528171972639,RO
2017,10727.9822007426,4.927,19588715.0,53.3648643239046,RO
2018,12416.134317959,4.187,19473970.0,53.1445711571868,RO
2019,12909.6104013244,3.912,19371648.0,52.8931835224862,RO
2020,13009.1770573223,5.035,19265250.0,52.611947245178,RO
2021,14907.9803652143,5.59,19122059.0,52.2321512130811,RO
2022,15503.551804598,5.614,19048502.0,52.1634832477272,RO
2023,18244.4186876321,5.589,19061062.0,52.1645747011867,RO
2010,52542.5759090299,8.61,9378126.0,85.1334228515625,SE
2011,60379.4814599322,7.804,9449213.0,85.3600748880524,SE
2012,57749.5615420853,7.976,9519374.0,85.6250668883122,SE
2013,60843.9888799369,8.052,9600379.0,85.9249771259894,SE
2014,59583.4584491714,7.954,9696110.0,86.2563838747314,SE
2015,51188.1652120493,7.432,9799186.0,86.6158654081858,SE
2016,51703.5088332851,6.99,9923085.0,87.0,SE
2017,53210.2233318965,6.718,10057698.0,87.237373786911,SE
2018,54018.4554391861,6.365,10175214.0,87.4737430925296,SE
2019,51648.9892820514,6.833,10278887.0,87.7088420242759,SE
2020,52568.5726980146,8.291,10353442.0,87.9424046895699,SE
2021,60647.5416365347,8.803,10415811.0,88.1741651958315,SE
2022,54836.8907235124,7.417,10486941.0,88.4038576504809,SE
2023,54950.2834725622,7.611,10536632.0,88.631216160938,SE
2010,23329.8417691156,7.236,2048583.0,50.1194862794826,SI
2011,24940.6284841605,8.166,2052843.0,49.9463818748723,SI
2012,22442.1417859955,8.841,2057159.0,49.7619476318359,SI
2013,23236.9655321695,10.103,2059953.0,50.0466580754027,SI
2014,24013.0682060959,9.668,2061980.0,50.983470916748,SI
2015,20697.2748530619,8.962,2063531.0,53.6612160294144,SI
2016,21447.8377796036,8.0,2065042.0,53.647274017334,SI
2017,23303.077705959,6.564,2066388.0,55.2451133728027,SI
2018,25888.0481065655,5.108,2073894.0,55.1913430955675,SI
2019,25814.1687167572,4.446,2088385.0,55.4523277282715,SI
2020,25392.0651093612,4.971,2102419.0,55.384391784668,SI
2021,29192.8401933019,4.744,2108079.0,55.3046289429588,SI
2022,28360.3041467268,4.011,2112076.0,55.3377817873563,SI
2023,32660.4753581346,3.652,2120461.0,55.5378927789875,SI
2010,16899.448680529,14.387,5391428.0,54.5650740704331,SK
2011,18469.4354316836,13.634,5398384.0,54.4167387988534,SK
2012,17516.9691054078,13.966,5407579.0,54.2764528316182,SK
2013,18312.7805149823,14.226,5413393.0,54.1384024098892,SK
2014,18770.9289896545,11.536,5418649.0,54.0029125499893,SK
2015,16442.0760860018,11.492,5423801.0,53.8700628001622,SK
2016,16636.0769133073,9.679,5430798.0,53.7399327086517,SK
2017,17645.5298716761,8.142,5439232.0,53.6126018237016,SK
2018,19573.3717031314,6.544,5446771.0,53.4881496935559,SK
2019,19406.0589683582,5.761,5454147.0,53.3666558664583,SK
2020,19735.4858280801,6.719,5458827.0,53.2481998906526,SK
2021,22123.3342114545,6.894,5447247.0,53.1901479870605,SK
2022,21317.7943982363,6.143,5431752.0,53.1902831072528,SK
2023,24614.8734642794,5.843,5426740.0,53.190805019646,SK
